Parameter,Value
Generation,23
Best Fitness,1.2340791567412062
Genome,"[2, 2, 2, 0, 0, 2, 0, 2, 2, 2, 2, 2, 0, 1, 1, 1, 3, 0, 0, 0, 0, 1, 0, 1, 1]"

Frequency,T,R,L
0.055,0.1653337834158117,0.4715573509889966,0.3631088655951917
0.05550505050505051,0.15864985319108305,0.4717502554646387,0.36959989134427823
0.05601010101010101,0.1524098471417797,0.47369637455362895,0.3738937783045914
0.05651515151515152,0.14643550367851604,0.48056136448270587,0.37300313183877803
0.05702020202020202,0.1405218871998053,0.49379161609766126,0.36568649670253345
0.05752525252525253,0.13440216910831662,0.5133626285565243,0.35223520233515915
0.05803030303030303,0.12777521533584787,0.5382137931838042,0.33401099148034785
0.05853535353535354,0.12036705613797734,0.5667201100917009,0.31291283377032175
0.05904040404040404,0.11199603627126171,0.5971027163098985,0.2909012474188397
0.05954545454545455,0.10261930002311885,0.6277290449225912,0.26965165505429
0.06005050505050505,0.09234951595085454,0.657291713676589,0.2503587703725565
0.06055555555555556,0.08144114866879525,0.6848800755611714,0.23367877577003338
0.061060606060606065,0.0702528919311813,0.709970805859709,0.2197763022091097
0.06156565656565657,0.05919653414064405,0.7323669830623429,0.208436482797013
0.062070707070707075,0.04868303992445495,0.7521123133936092,0.19920464668193583
0.06257575757575758,0.039074956996237836,0.7694014082790239,0.1915236347247382
0.06308080808080808,0.030651391075245175,0.7845004331473389,0.18484817577741597
0.06358585858585859,0.02358856101629238,0.7976862443784055,0.17872519460530212
0.06409090909090909,0.017955955271706067,0.8092069343285595,0.17283711039973448
0.0645959595959596,0.013725753540972347,0.8192627475544303,0.16701149890459732
0.0651010101010101,0.010791669489300673,0.8280036547959282,0.16120467571477115
0.06560606060606061,0.008992771515671648,0.8355384200308177,0.15546880845351063
0.06611111111111112,0.008138068449923168,0.8419496498636262,0.14991228168645065
0.06661616161616161,0.008028507294417786,0.8473098825627394,0.14466161014284284
0.06712121212121212,0.008474244115174022,0.8516949892973594,0.13983076658746652
0.06762626262626263,0.009306320984967992,0.8551927000766779,0.1355009789383541
0.06813131313131314,0.01038296050735658,0.8579056025140523,0.1317114369785911
0.06863636363636363,0.011591418613226826,0.8599492191818722,0.12845936220490095
0.06914141414141414,0.01284667335289528,0.8614465812432129,0.12570674540389182
0.06964646464646465,0.014088227847153943,0.8625210400742355,0.12339073207861062
0.07015151515151516,0.015276083557737272,0.8632889622027031,0.12143495423955963
0.07065656565656567,0.016386622275548303,0.8638535717712612,0.11975980595319047
0.07116161616161616,0.017408824678720323,0.8643006938743736,0.11829048144690613
0.07166666666666667,0.018341011353467163,0.8646966457661466,0.1169623428803862
0.07217171717171718,0.019188138594241042,0.8650881123162923,0.11572374908946659
0.07267676767676767,0.01995960592808234,0.8655035710331318,0.11453682303878587
0.07318181818181818,0.020667510319525868,0.865955705029465,0.1133767846510092
0.07368686868686869,0.0213252869988816,0.8664442383008901,0.11223047470022829
0.0741919191919192,0.02194668875333304,0.8669587129948756,0.11109459825179135
0.0746969696969697,0.022545063306682364,0.8674808668721122,0.10997406982120539
0.07520202020202021,0.023132889071805253,0.8679864282611187,0.10888068266707607
0.07570707070707071,0.02372152520605444,0.8684462989872922,0.10783217580665339
0.07621212121212122,0.024321126679592946,0.8688272233535662,0.10685164996684082
0.07671717171717173,0.02494067277704323,0.8690921302635835,0.10596719695937329
0.07722222222222222,0.02558806024011523,0.8692003793372949,0.10521156042258983
0.07772727272727273,0.026270220306002654,0.8691081397282773,0.10462163996572005
0.07823232323232324,0.02699323079212987,0.8687690873214126,0.10423768188645754
0.07873737373737374,0.02776240781150309,0.8681355320183336,0.10410206017016332
0.07924242424242425,0.028582374194454193,0.8671599955419887,0.10425763026355706
0.07974747474747476,0.02945711118057005,0.8657971670944637,0.10474572172496621
0.08025252525252526,0.030390005160330705,0.8640060843851586,0.10560391045451067
0.08075757575757576,0.0313839018738909,0.8617523334628293,0.10686376466327974
0.08126262626262627,0.0324411771303575,0.8590100403754172,0.10854878249422528
0.08176767676767677,0.03356382717097834,0.855763443283168,0.11067272954585361
0.08227272727272728,0.034753575107174015,0.8520078818859497,0.1132385430068763
0.08277777777777778,0.03601198434616928,0.8477501136494778,0.11623790200435291
0.08328282828282829,0.037340567160700895,0.8430079517897326,0.11965148104956647
0.0837878787878788,0.03874087743042187,0.8378093054118139,0.12344981715776426
0.0842929292929293,0.040214580977991965,0.8321907752849718,0.12759464373703633
0.0847979797979798,0.041763503745270936,0.8261960093243114,0.1320404869304177
0.08530303030303031,0.04338966544953426,0.8198740430598298,0.13673629149063593
0.08580808080808082,0.045095312177931154,0.8132778391499995,0.14162684867206932
0.08631313131313131,0.046882963762618336,0.8064631972316766,0.14665383900570506
0.08681818181818182,0.04875548970196039,0.799488135725259,0.15175637457278057
0.08732323232323233,0.05071622098740687,0.7924127585996821,0.156871020412911
0.08782828282828284,0.052769095753555234,0.7852995232574899,0.16193138098895488
0.08833333333333335,0.054918826291914975,0.778213733303301,0.16686744040478396
0.08883838383838386,0.057171065956703786,0.7712240055955594,0.1716049284477369
0.08934343434343435,0.05953254865449856,0.764402417751299,0.17606503359420245
0.08984848484848486,0.06201117173028649,0.7578240410561953,0.18016478721351825
0.09035353535353535,0.06461599468702255,0.7515656112412377,0.18381839407173983
0.09085858585858586,0.06735712983309064,0.7457031864861298,0.18693968368077962
0.09136363636363637,0.0702455047388816,0.7403087814694449,0.18944571379167352
0.09186868686868688,0.07329247873602555,0.7354461334498832,0.1912613878140913
0.09237373737373739,0.07650929608126716,0.7311659290908036,0.1923247748279292
0.0928787878787879,0.07990635771387182,0.7275009718821785,0.19259267040394967
0.0933838383838384,0.08349229397475125,0.7244618711442578,0.19204583488099103
0.0938888888888889,0.08727282525921652,0.7220338598330384,0.1906933149077451
0.0943939393939394,0.09124940942962408,0.7201752835261792,0.18857530704419667
0.0948989898989899,0.09541769630221726,0.7188181441168132,0.18576415958096948
0.09540404040404041,0.09976584179458914,0.7178708420530938,0.18236331615231705
0.09590909090909092,0.10427277704934022,0.7172229700245975,0.1785042529260623
0.09641414141414142,0.10890657911735892,0.7167517119958302,0.1743417088868109
0.09691919191919193,0.11362314579532876,0.7163291453525585,0.17004770885211273
0.09742424242424244,0.11836543156161554,0.7158295810765571,0.16580498736182736
0.09792929292929294,0.12306354405576946,0.7151360478282303,0.16180040811600027
0.09843434343434344,0.12763601612363512,0.7141451523721024,0.1582188315042624
0.09893939393939395,0.13199253713704537,0.7127698272525534,0.15523763561040116
0.09944444444444445,0.136038326685779,0.7109398747404101,0.15302179857381093
0.09994949494949495,0.1396801449814055,0.7086006742027309,0.15171918081586366
0.10045454545454546,0.14283365176866566,0.705710856914101,0.15145549131723335
0.10095959595959597,0.14543146848480262,0.7022400748106419,0.15232845670455553
0.10146464646464648,0.1474309211207615,0.6981681058713539,0.15440097300788458
0.10196969696969699,0.14882013619199663,0.6934863734861809,0.15769349032182245
0.10247474747474748,0.14962105071620846,0.6882024690478825,0.16217648023590903
0.10297979797979799,0.14988810353641097,0.6823474665066602,0.16776442995692875
0.10348484848484849,0.14970198581163707,0.6759847839336609,0.17431323025470202
0.103989898989899,0.1491588407084657,0.6692182406977895,0.1816229185937449
0.1044949494949495,0.1483565810060593,0.66219602428629,0.1894473947076507
0.10500000000000001,0.14738125065411026,0.6551068313422287,0.19751191800366108
