Parameter,Value
Generation,6
Best Fitness,0.9663133022457808
Genome,"[2, 2, 2, 2, 2, 2, 1, 1, 0, 1, 2, 3, 0, 3, 2, 3]"

Frequency,T,R,L
0.055,0.1482375536102375,0.3231969071642464,0.5285655392255161
0.05550505050505051,0.1464962078675559,0.32289743774252494,0.5306063543899191
0.05601010101010101,0.1464854558348527,0.32385882001362737,0.5296557241515198
0.05651515151515152,0.14749782927218863,0.326278963995587,0.5262232067322243
0.05702020202020202,0.14899747458628196,0.33030839353487107,0.5206941318788469
0.05752525252525253,0.15058803581138283,0.3360582448512433,0.5133537193373738
0.05803030303030303,0.1519815831057528,0.34360489971031316,0.504413517183934
0.05853535353535354,0.1529718150786618,0.3529921629967813,0.4940360219245568
0.05904040404040404,0.15341267740119247,0.3642317215288437,0.48235560106996384
0.05954545454545455,0.15320236567262727,0.3773024322569702,0.4694952020704026
0.06005050505050505,0.15227209365881825,0.392148873290025,0.45557903305115677
0.06055555555555556,0.15057877247818693,0.4086795684504935,0.4407416590713195
0.061060606060606065,0.14810070236437473,0.4267653428146322,0.42513395482099303
0.06156565656565657,0.14483542522166054,0.4462383422495181,0.4089262325288213
0.062070707070707075,0.14079896566728473,0.46689230857005837,0.39230872576265685
0.06257575757575758,0.13602577444232727,0.48848470064416044,0.37548952491351234
0.06308080808080808,0.13056877624353252,0.5107411566071224,0.35869006714934504
0.06358585858585859,0.12449902179630037,0.5333625854259414,0.34213839277775826
0.06409090909090909,0.11790456265988844,0.5560348631995584,0.3260605741405531
0.0645959595959596,0.11088831401958696,0.5784407256660485,0.3106709603143645
0.0651010101010101,0.10356484277724312,0.6002730563182791,0.2961621009044778
0.06560606060606061,0.09605620039377717,0.6212484497075798,0.2826953498986431
0.06611111111111112,0.08848708673659021,0.6411197601913878,0.27039315307202194
0.06661616161616161,0.08097975361051221,0.6596863799805928,0.259333866408895
0.06712121212121212,0.07364911112811125,0.6768012344454367,0.24954965442645205
0.06762626262626263,0.06659847660754607,0.6923738939932489,0.24102762939920508
0.06813131313131314,0.05991631173401226,0.7063696970970406,0.2337139911689472
0.06863636363636363,0.05367415218838631,0.7188052588185729,0.22752058899304073
0.06914141414141414,0.047925776188464164,0.7297411159946637,0.2223331078168721
0.06964646464646465,0.04270751517063154,0.7392724803048818,0.21802000452448667
0.07015151515151516,0.038039503710604834,0.7475191219187292,0.21444137437066602
0.07065656565656567,0.033927607193713155,0.7546153142754048,0.21145707853088203
0.07116161616161616,0.030365753392489613,0.760700582116872,0.20893366449063844
0.07166666666666667,0.027338418301489958,0.765911763298481,0.20674981840002904
0.07217171717171718,0.02482306376612766,0.7703766657990598,0.20480027043481253
0.07267676767676767,0.022792381232704502,0.7742094057561718,0.20299821301112364
0.07318181818181818,0.02121625170297288,0.7775073653569953,0.2012763829400318
0.07368686868686869,0.020063379844385977,0.7803496129825657,0.19958700717304834
0.0741919191919192,0.01930259694509731,0.7827965755146107,0.19790082754029203
0.0746969696969697,0.01890385254766538,0.7848907335021593,0.19620541395017532
0.07520202020202021,0.01883892943886886,0.7866581127301688,0.19450295783096228
0.07570707070707071,0.01908192335211458,0.7881103610242365,0.19280771562364896
0.07621212121212122,0.01960952957591113,0.7892472198344208,0.19114325058966808
0.07671717171717173,0.02040117576583176,0.7900592219240297,0.18953960231013856
0.07722222222222222,0.021439035337395784,0.7905304672835536,0.18803049737905064
0.07772727272727273,0.022707950137945944,0.7906413487706214,0.18665070109143267
0.07823232323232324,0.02419528551254711,0.7903711174707252,0.18543359701672768
0.07873737373737374,0.02589073590886541,0.7897001962526061,0.1844090678385285
0.07924242424242425,0.02778609506388438,0.7886121692050184,0.18360173573109717
0.07974747474747476,0.029875001645501692,0.7870953949220642,0.18302960343243413
0.08025252525252526,0.032152668918667186,0.7851442127466531,0.18270311833467967
0.08075757575757576,0.034615605422975884,0.782759732375918,0.18262466220110607
0.08126262626262627,0.03726133260223112,0.7799502176100275,0.18278844978774145
0.08176767676767677,0.0400881046276406,0.7767310932752438,0.18318080209711562
0.08227272727272728,0.04309463513829295,0.773124619345294,0.1837807455164131
0.08277777777777778,0.046279835159539345,0.7691592871724803,0.18456087766798035
0.08328282828282829,0.04964256597686653,0.7648689990746141,0.1854884349485193
0.0837878787878788,0.05318141021663231,0.7602920943080098,0.18652649547535782
0.0842929292929293,0.05689446383698811,0.7554702821079438,0.1876352540550681
0.0847979797979798,0.06077915121398147,0.7504475367372648,0.1887733120487537
